RoomNumber,Floor,Wing,RoomType
201,2,A,Standard
202,2,A,Standard
203,2,A,Standard
204,2,A,Standard
205,2,A,Standard
206,2,A,Standard
207,2,A,Standard
208,2,A,Standard
209,2,A,Standard
210,2,A,Standard
211,2,A,Standard
212,2,A,Standard
213,2,A,Standard
214,2,A,Standard
215,2,A,Standard
216,2,A,Standard
217,2,A,Standard
218,2,A,Standard
219,2,A,Standard
220,2,A,Standard
221,2,A,Standard
222,2,A,Standard
223,2,A,Standard
224,2,A,Standard
225,2,A,Standard
226,2,A,Standard
227,2,A,Standard
228,2,A,Standard
229,2,A,Standard
230,2,A,Standard
231,2,A,Standard
232,2,A,Standard
233,2,A,Corner
234,2,A,Corner
235,2,A,Corner
236,2,A,Corner
237,2,A,SuperiorCorner
238,2,A,SuperiorCorner
239,2,A,SuperiorCorner
240,2,A,CornerPremium
251,2,B,Apartment
252,2,B,Apartment
253,2,B,Apartment
254,2,B,Apartment
255,2,B,Apartment
256,2,B,Apartment
257,2,B,Apartment
258,2,B,Apartment
259,2,B,Apartment
260,2,B,Apartment
261,2,B,Apartment
262,2,B,Apartment
263,2,B,SuperiorApartmentBalcony
264,2,B,SuperiorApartmentBalcony
265,2,B,SuperiorApartmentBalcony
266,2,B,SuperiorApartmentBalcony
267,2,B,SuperiorApartmentBalcony
268,2,B,TwoRoomApartment
269,2,B,TwoRoomApartment
270,2,B,TwoRoomApartment
301,3,A,Standard
302,3,A,Standard
303,3,A,Standard
304,3,A,Standard
305,3,A,Standard
306,3,A,Standard
307,3,A,Standard
308,3,A,Standard
309,3,A,Standard
310,3,A,Standard
311,3,A,Standard
312,3,A,Standard
313,3,A,Standard
314,3,A,Standard
315,3,A,Standard
316,3,A,Standard
317,3,A,Standard
318,3,A,Standard
319,3,A,Standard
320,3,A,Standard
321,3,A,Standard
322,3,A,Standard
323,3,A,Standard
324,3,A,Standard
325,3,A,Standard
326,3,A,Standard
327,3,A,Standard
328,3,A,Standard
329,3,A,Standard
330,3,A,Standard
331,3,A,Standard
332,3,A,Standard
333,3,A,Corner
334,3,A,Corner
335,3,A,Corner
336,3,A,Corner
337,3,A,SuperiorCorner
338,3,A,SuperiorCorner
339,3,A,SuperiorCorner
340,3,A,CornerPremium
351,3,B,Apartment
352,3,B,Apartment
353,3,B,Apartment
354,3,B,Apartment
355,3,B,Apartment
356,3,B,Apartment
357,3,B,Apartment
358,3,B,Apartment
359,3,B,Apartment
360,3,B,Apartment
361,3,B,Apartment
362,3,B,Apartment
363,3,B,SuperiorApartmentBalcony
364,3,B,SuperiorApartmentBalcony
365,3,B,SuperiorApartmentBalcony
366,3,B,SuperiorApartmentBalcony
367,3,B,SuperiorApartmentBalcony
368,3,B,TwoRoomApartment
369,3,B,TwoRoomApartment
370,3,B,TwoRoomApartment
401,4,A,Standard
402,4,A,Standard
403,4,A,Standard
404,4,A,Standard
405,4,A,Standard
406,4,A,Standard
407,4,A,Standard
408,4,A,Standard
409,4,A,Standard
410,4,A,Standard
411,4,A,Standard
412,4,A,Standard
413,4,A,Standard
414,4,A,Standard
415,4,A,Standard
416,4,A,Standard
417,4,A,Standard
418,4,A,Standard
